drug_id,pdb_id,Energy,pose_file_name
r2_gen_126239,3BZ3,-9.1,r2_gen_126239_3BZ3_best_docking_pose.mol2
r2_gen_44977,3BZ3,-10.07,r2_gen_44977_3BZ3_best_docking_pose.mol2
r2_gen_254951,3BZ3,-10.54,r2_gen_254951_3BZ3_best_docking_pose.mol2
r2_gen_175138,3BZ3,-7.15,r2_gen_175138_3BZ3_best_docking_pose.mol2
r2_gen_194327,3BZ3,-7.16,r2_gen_194327_3BZ3_best_docking_pose.mol2
r2_gen_101136,3BZ3,-8.57,r2_gen_101136_3BZ3_best_docking_pose.mol2
r2_gen_7248,3BZ3,-9.34,r2_gen_7248_3BZ3_best_docking_pose.mol2
r2_gen_271119,3BZ3,-8.35,r2_gen_271119_3BZ3_best_docking_pose.mol2
r2_gen_296360,3BZ3,-8.32,r2_gen_296360_3BZ3_best_docking_pose.mol2
r2_gen_296415,3BZ3,-8.16,r2_gen_296415_3BZ3_best_docking_pose.mol2
r2_gen_194567,3BZ3,-9.57,r2_gen_194567_3BZ3_best_docking_pose.mol2
r2_gen_218489,3BZ3,-9.66,r2_gen_218489_3BZ3_best_docking_pose.mol2
r2_gen_40597,3BZ3,-6.9,r2_gen_40597_3BZ3_best_docking_pose.mol2
r2_gen_154829,3BZ3,-10.48,r2_gen_154829_3BZ3_best_docking_pose.mol2
r2_gen_24129,3BZ3,-9.88,r2_gen_24129_3BZ3_best_docking_pose.mol2
r2_gen_296738,3BZ3,-7.47,r2_gen_296738_3BZ3_best_docking_pose.mol2
r2_gen_111010,3BZ3,-7.38,r2_gen_111010_3BZ3_best_docking_pose.mol2
r2_gen_240560,3BZ3,-7.77,r2_gen_240560_3BZ3_best_docking_pose.mol2
r2_gen_146635,3BZ3,-9.19,r2_gen_146635_3BZ3_best_docking_pose.mol2
r2_gen_90976,3BZ3,-10.29,r2_gen_90976_3BZ3_best_docking_pose.mol2
r2_gen_77982,3BZ3,-9.47,r2_gen_77982_3BZ3_best_docking_pose.mol2
r2_gen_196988,3BZ3,-7.07,r2_gen_196988_3BZ3_best_docking_pose.mol2
r2_gen_3871,3BZ3,-5.66,r2_gen_3871_3BZ3_best_docking_pose.mol2
r2_gen_55780,3BZ3,-8.47,r2_gen_55780_3BZ3_best_docking_pose.mol2
r2_gen_209176,3BZ3,-7.99,r2_gen_209176_3BZ3_best_docking_pose.mol2
r2_gen_244218,3BZ3,-7.74,r2_gen_244218_3BZ3_best_docking_pose.mol2
r2_gen_268724,3BZ3,-8.94,r2_gen_268724_3BZ3_best_docking_pose.mol2
r2_gen_93479,3BZ3,-10.52,r2_gen_93479_3BZ3_best_docking_pose.mol2
r2_gen_17250,3BZ3,-6.94,r2_gen_17250_3BZ3_best_docking_pose.mol2
r2_gen_293592,3BZ3,-7.04,r2_gen_293592_3BZ3_best_docking_pose.mol2
r2_gen_119907,3BZ3,-8.76,r2_gen_119907_3BZ3_best_docking_pose.mol2
r2_gen_126768,3BZ3,-7.09,r2_gen_126768_3BZ3_best_docking_pose.mol2
r2_gen_303663,3BZ3,-10.32,r2_gen_303663_3BZ3_best_docking_pose.mol2
r2_gen_107149,3BZ3,-8.75,r2_gen_107149_3BZ3_best_docking_pose.mol2
r2_gen_182267,3BZ3,-10.18,r2_gen_182267_3BZ3_best_docking_pose.mol2
r2_gen_12875,3BZ3,-7.54,r2_gen_12875_3BZ3_best_docking_pose.mol2
r2_gen_303764,3BZ3,-11.02,r2_gen_303764_3BZ3_best_docking_pose.mol2
r2_gen_189931,3BZ3,-8.02,r2_gen_189931_3BZ3_best_docking_pose.mol2
r2_gen_20429,3BZ3,-7.76,r2_gen_20429_3BZ3_best_docking_pose.mol2
r2_gen_122171,3BZ3,-7.95,r2_gen_122171_3BZ3_best_docking_pose.mol2
r2_gen_179629,3BZ3,-10.11,r2_gen_179629_3BZ3_best_docking_pose.mol2
r2_gen_216778,3BZ3,-8.45,r2_gen_216778_3BZ3_best_docking_pose.mol2
r2_gen_131494,3BZ3,-7.75,r2_gen_131494_3BZ3_best_docking_pose.mol2
r2_gen_59120,3BZ3,-7.76,r2_gen_59120_3BZ3_best_docking_pose.mol2
r2_gen_275110,3BZ3,-7.66,r2_gen_275110_3BZ3_best_docking_pose.mol2
r2_gen_295064,3BZ3,-7.65,r2_gen_295064_3BZ3_best_docking_pose.mol2
r2_gen_262121,3BZ3,-10.47,r2_gen_262121_3BZ3_best_docking_pose.mol2
r2_gen_72239,3BZ3,-8.35,r2_gen_72239_3BZ3_best_docking_pose.mol2
r2_gen_113937,3BZ3,-7.75,r2_gen_113937_3BZ3_best_docking_pose.mol2
r2_gen_132795,3BZ3,-9.11,r2_gen_132795_3BZ3_best_docking_pose.mol2
r2_gen_214273,3BZ3,-10.0,r2_gen_214273_3BZ3_best_docking_pose.mol2
r2_gen_38762,3BZ3,-7.15,r2_gen_38762_3BZ3_best_docking_pose.mol2
r2_gen_248118,3BZ3,-7.98,r2_gen_248118_3BZ3_best_docking_pose.mol2
r2_gen_106580,3BZ3,-7.3,r2_gen_106580_3BZ3_best_docking_pose.mol2
r2_gen_142130,3BZ3,-9.57,r2_gen_142130_3BZ3_best_docking_pose.mol2
r2_gen_146990,3BZ3,-8.67,r2_gen_146990_3BZ3_best_docking_pose.mol2
r2_gen_198943,3BZ3,-8.71,r2_gen_198943_3BZ3_best_docking_pose.mol2
r2_gen_12509,3BZ3,-9.16,r2_gen_12509_3BZ3_best_docking_pose.mol2
r2_gen_1215,3BZ3,-9.71,r2_gen_1215_3BZ3_best_docking_pose.mol2
r2_gen_37166,3BZ3,-8.68,r2_gen_37166_3BZ3_best_docking_pose.mol2
r2_gen_152700,3BZ3,0.0,r2_gen_152700_3BZ3_best_docking_pose.mol2
r2_gen_143140,3BZ3,-8.25,r2_gen_143140_3BZ3_best_docking_pose.mol2
r2_gen_241171,3BZ3,-8.53,r2_gen_241171_3BZ3_best_docking_pose.mol2
r2_gen_145017,3BZ3,-10.24,r2_gen_145017_3BZ3_best_docking_pose.mol2
r2_gen_277792,3BZ3,-8.74,r2_gen_277792_3BZ3_best_docking_pose.mol2
r2_gen_288400,3BZ3,-10.16,r2_gen_288400_3BZ3_best_docking_pose.mol2
r2_gen_270725,3BZ3,-7.08,r2_gen_270725_3BZ3_best_docking_pose.mol2
r2_gen_18963,3BZ3,-7.85,r2_gen_18963_3BZ3_best_docking_pose.mol2
r2_gen_221373,3BZ3,-8.0,r2_gen_221373_3BZ3_best_docking_pose.mol2
r2_gen_113567,3BZ3,-8.61,r2_gen_113567_3BZ3_best_docking_pose.mol2
r2_gen_136622,3BZ3,-8.6,r2_gen_136622_3BZ3_best_docking_pose.mol2
r2_gen_291396,3BZ3,-10.29,r2_gen_291396_3BZ3_best_docking_pose.mol2
r2_gen_254794,3BZ3,-7.06,r2_gen_254794_3BZ3_best_docking_pose.mol2
r2_gen_1401,3BZ3,-8.3,r2_gen_1401_3BZ3_best_docking_pose.mol2
r2_gen_30534,3BZ3,-9.24,r2_gen_30534_3BZ3_best_docking_pose.mol2
r2_gen_239429,3BZ3,-7.81,r2_gen_239429_3BZ3_best_docking_pose.mol2
r2_gen_152675,3BZ3,-7.7,r2_gen_152675_3BZ3_best_docking_pose.mol2
r2_gen_246263,3BZ3,-8.07,r2_gen_246263_3BZ3_best_docking_pose.mol2
r2_gen_156548,3BZ3,-9.01,r2_gen_156548_3BZ3_best_docking_pose.mol2
r2_gen_142220,3BZ3,-7.07,r2_gen_142220_3BZ3_best_docking_pose.mol2
r2_gen_152823,3BZ3,-8.26,r2_gen_152823_3BZ3_best_docking_pose.mol2
r2_gen_79399,3BZ3,-10.14,r2_gen_79399_3BZ3_best_docking_pose.mol2
r2_gen_137687,3BZ3,-8.82,r2_gen_137687_3BZ3_best_docking_pose.mol2
r2_gen_94223,3BZ3,-6.86,r2_gen_94223_3BZ3_best_docking_pose.mol2
r2_gen_202532,3BZ3,-5.98,r2_gen_202532_3BZ3_best_docking_pose.mol2
r2_gen_169606,3BZ3,-10.2,r2_gen_169606_3BZ3_best_docking_pose.mol2
r2_gen_236499,3BZ3,-9.79,r2_gen_236499_3BZ3_best_docking_pose.mol2
r2_gen_196488,3BZ3,-8.85,r2_gen_196488_3BZ3_best_docking_pose.mol2
r2_gen_248672,3BZ3,-8.11,r2_gen_248672_3BZ3_best_docking_pose.mol2
r2_gen_100642,3BZ3,-9.28,r2_gen_100642_3BZ3_best_docking_pose.mol2
r2_gen_192274,3BZ3,-9.66,r2_gen_192274_3BZ3_best_docking_pose.mol2
r2_gen_107093,3BZ3,-9.03,r2_gen_107093_3BZ3_best_docking_pose.mol2
